Model,HL_1,HL_2,HL_3,Act_F,epochs,Train Error,Test Error,Optimizer,Dropout
Neural Networks,7,3,0,relu,1000,37.5959726,35.51203909,adam,0
Neural Networks,7,3,0,relu,1500,36.25725735,33.86380055,adam,0
Neural Networks,7,3,0,relu,2000,35.70466299,33.87394012,adam,0
Neural Networks,7,3,0,relu,2500,34.84017397,34.57292951,adam,0
Neural Networks,7,3,0,relu,3000,33.6763665,35.86664803,adam,0
Neural Networks,7,3,0,relu,1000,42.8368372,43.69570142,adam,0.05
Neural Networks,7,3,0,relu,1500,42.06911945,43.8508327,adam,0.05
Neural Networks,7,3,0,relu,2000,42.50673424,44.45544551,adam,0.05
Neural Networks,7,3,0,relu,2500,42.62675529,43.97620495,adam,0.05
Neural Networks,7,3,0,relu,3000,42.83124326,45.00879243,adam,0.05
Neural Networks,7,4,2,relu,1000,35.46565188,34.57996198,adam,0
Neural Networks,7,4,2,relu,1500,33.02795103,34.24103584,adam,0
Neural Networks,7,4,2,relu,2000,32.71809497,33.75654414,adam,0
Neural Networks,7,4,2,relu,2500,32.52623775,33.61702896,adam,0
Neural Networks,7,4,2,relu,3000,31.44179132,32.36190393,adam,0
Neural Networks,7,4,2,relu,1000,55.65192004,58.80052412,adam,0.05
Neural Networks,7,4,2,relu,1500,52.09436578,54.7157247,adam,0.05
Neural Networks,7,4,2,relu,2000,53.10868175,55.00589899,adam,0.05
Neural Networks,7,4,2,relu,2500,52.47299281,55.40760543,adam,0.05
Neural Networks,7,4,2,relu,3000,51.10751384,53.96492901,adam,0.05
Neural Networks,8,4,0,relu,1000,30.77891508,31.29415378,adam,0
Neural Networks,8,4,0,relu,1500,27.84207103,29.0207263,adam,0
Neural Networks,8,4,0,relu,2000,26.68953629,30.73654202,adam,0
Neural Networks,8,4,0,relu,2500,26.30961302,31.06388598,adam,0
Neural Networks,8,4,0,relu,3000,26.17117097,30.9457312,adam,0
Neural Networks,8,4,0,relu,1000,28.2794119254347,35.87300378884967,adam,0.05
Neural Networks,8,4,0,relu,1500,26.729871740853305,35.1647271910409,adam,0.05
Neural Networks,8,4,0,relu,2000,25.764893517875812,35.05066152684118,adam,0.05
Neural Networks,8,4,0,relu,2500,27.060557663425783,35.2376695390784,adam,0.05
Neural Networks,8,4,0,relu,3000,26.084244624785505,36.062790178301796,adam,0.05
Neural Networks,8,4,2,relu,1000,32.30816305522927,33.773060526423414,adam,0.0
Neural Networks,8,4,2,relu,1500,30.654754879198876,33.229098781650265,adam,0.0
Neural Networks,8,4,2,relu,2000,30.100494978811057,32.932669306817154,adam,0.0
Neural Networks,8,4,2,relu,2500,29.875290307666027,32.828177589689034,adam,0.0
Neural Networks,8,4,2,relu,3000,29.77608662700211,32.51552340710327,adam,0.0
Neural Networks,8,4,2,relu,1000,58.405136998323314,53.04328617890934,adam,0.05
Neural Networks,8,4,2,relu,1500,55.77434059966826,49.97528165654874,adam,0.05
Neural Networks,8,4,2,relu,2000,49.634837430663765,46.44460543673137,adam,0.05
Neural Networks,8,4,2,relu,2500,49.264856252763664,47.59071581994037,adam,0.05
Neural Networks,8,4,2,relu,3000,49.17891149923516,47.838202776293635,adam,0.05
Neural Networks,7,3,0,sigmoid,1000,46.54438818126464,41.1833457886188,adam,0.0
Neural Networks,7,3,0,sigmoid,1500,42.09529129529302,38.27452251932185,adam,0.0
Neural Networks,7,3,0,sigmoid,2000,39.44255619406765,36.7228405864222,adam,0.0
Neural Networks,7,3,0,sigmoid,2500,37.952246875367194,35.78471761140625,adam,0.0
Neural Networks,7,3,0,sigmoid,3000,36.883056166061756,34.96877020380558,adam,0.0
Neural Networks,7,3,0,sigmoid,1000,59.02827487677554,51.81012993850533,adam,0.05
Neural Networks,7,3,0,sigmoid,1500,50.549256080188044,47.069801349773755,adam,0.05
Neural Networks,7,3,0,sigmoid,2000,48.47058663950927,45.863297183796185,adam,0.05
Neural Networks,7,3,0,sigmoid,2500,45.54032052113735,45.14471266880425,adam,0.05
Neural Networks,7,3,0,sigmoid,3000,43.90344217988559,44.24208617044962,adam,0.05
Neural Networks,7,4,2,sigmoid,1000,46.1220245374116,41.481927464811115,adam,0.0
Neural Networks,7,4,2,sigmoid,1500,40.29303971630405,38.240434472238334,adam,0.0
Neural Networks,7,4,2,sigmoid,2000,38.189119917470116,36.72529210673831,adam,0.0
Neural Networks,7,4,2,sigmoid,2500,36.61393300906395,35.399230864582655,adam,0.0
Neural Networks,7,4,2,sigmoid,3000,35.22634586629981,34.14055249634321,adam,0.0
Neural Networks,7,4,2,sigmoid,1000,85.18844711197103,77.5253616614414,adam,0.05
Neural Networks,7,4,2,sigmoid,1500,81.70867604491562,74.90677071428662,adam,0.05
Neural Networks,7,4,2,sigmoid,2000,78.11482786774285,70.63470442399827,adam,0.05
Neural Networks,7,4,2,sigmoid,2500,73.04789416311992,65.25031536856882,adam,0.05
Neural Networks,7,4,2,sigmoid,3000,60.19654380891085,54.585428927051574,adam,0.05
Neural Networks,8,4,0,sigmoid,1000,44.468865589640494,39.14730115415212,adam,0.0
Neural Networks,8,4,0,sigmoid,1500,40.653074652866394,36.92985529149229,adam,0.0
Neural Networks,8,4,0,sigmoid,2000,38.42108616642099,35.22105592808391,adam,0.0
Neural Networks,8,4,0,sigmoid,2500,36.68027883269648,33.881338593775624,adam,0.0
Neural Networks,8,4,0,sigmoid,3000,35.355526787301436,32.820640487156325,adam,0.0
Neural Networks,8,4,0,sigmoid,1000,52.89581515415387,46.770726023146274,adam,0.05
Neural Networks,8,4,0,sigmoid,1500,44.7811381076991,42.11586879854366,adam,0.05
Neural Networks,8,4,0,sigmoid,2000,42.51053195669906,40.85931682509541,adam,0.05
Neural Networks,8,4,0,sigmoid,2500,41.0513156604543,40.19663844636863,adam,0.05
Neural Networks,8,4,0,sigmoid,3000,40.05413698930233,38.931536685060806,adam,0.05
Neural Networks,8,4,2,sigmoid,1000,45.55537450069362,41.42475013086601,adam,0.0
Neural Networks,8,4,2,sigmoid,1500,40.53577655998404,38.805774531136024,adam,0.0
Neural Networks,8,4,2,sigmoid,2000,37.49112591031151,35.91758014861602,adam,0.0
Neural Networks,8,4,2,sigmoid,2500,35.327834060579214,34.23665002121277,adam,0.0
Neural Networks,8,4,2,sigmoid,3000,33.35720406033455,32.57716454784787,adam,0.0
Neural Networks,8,4,2,sigmoid,1000,85.00626550002411,77.0420539833591,adam,0.05
Neural Networks,8,4,2,sigmoid,1500,80.76986939187033,73.70104211008508,adam,0.05
Neural Networks,8,4,2,sigmoid,2000,74.48360230488156,66.27950689779598,adam,0.05
Neural Networks,8,4,2,sigmoid,2500,65.63235698915484,56.019747973534564,adam,0.05
Neural Networks,8,4,2,sigmoid,3000,50.33004895991036,44.82629943486795,adam,0.05
